"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Movie Poster Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/Db92qxnSxmdkAPJewWtM7.webp","AI Prompts","","Become a movie-poster hero in a brown blazer and sunglasses against a blazing sunset. Paste your photo into this Gemini AI photo prompt and generate it in Nano Banana.","https://freepromptbase.com/movie-poster-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Indian Couple Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/tpyurkbbEj5u3n8Nt8czu.webp","AI Prompts","","A romantic outdoor portrait of a couple in a red saree and red shirt. Free Gemini couple photo prompt — copy it, add your photo, and create in Nano Banana.","https://freepromptbase.com/indian-couple-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, couple prompt, wedding prompt"
"Footballer Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/7B9HWOxGy044qPGz24il3.webp","AI Prompts","","Suit up as a footballer in a white kit with a ball under bright stadium lights. Copy, paste your photo into this Gemini AI photo prompt, and generate it in Nano Banana.","https://freepromptbase.com/footballer-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, sports prompt, cinematic prompt"
"European City Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/KBFvbzLwq2o1aECYdbefr.webp","AI Prompts","","Black-and-white street portrait of a man in a wool overcoat among pigeons in a city square. Paste your photo into this Gemini AI photo prompt and run it in Nano Banana.","https://freepromptbase.com/european-city-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, travel prompt"
"Blue Hour Beach Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/e06997cadb5670b69d2acbdb1187ba2e286a50f00f0b3d37155fe48bd22942ef.png","AI Prompts","","Turn your photo into a man in a white linen shirt holding flowers on a dusk beach. A free Gemini AI photo prompt — copy, paste, and edit in Nano Banana.","https://freepromptbase.com/blue-hour-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, aesthetic prompt"
"B&W Horse Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/299fce78351038f3a5206e3e9c0c7641506b4f3a998068051ce278c1070065fa.png","AI Prompts","","A moody monochrome shot of a stylish man sitting with a horse. This copy-paste Gemini AI photo editing prompt runs in Nano Banana or ChatGPT — just add your photo.","https://freepromptbase.com/black-and-white-horse-portrait","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Vintage Gentleman Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/e9ca264c65ec76532b0fb10d61b56adfa8c778470a1a6cb1ed92c9e0fa5d8218.jpg","AI Prompts","","A vintage gentleman in a plaid three-piece suit with a walking stick on a cobblestone street. A prompt for Gemini AI you can copy, paste, and run in Nano Banana.","https://freepromptbase.com/vintage-gentleman-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, vintage prompt"
"B&W Pro Headshot – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/72b1c8d1c526697545f69c37f5c3483bb02537857d842be4a92473e70e092b79.png","AI Prompts","","Clean professional headshot of a man in a black tee and glasses on a black backdrop. Copy, paste your photo into this Gemini AI photo prompt, and edit in Nano Banana.","https://freepromptbase.com/black-and-white-headshot-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Autumn Fashion Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/v23aHYQ0VCKprhbIBhPJC.png","AI Prompts","","A stylish man by a vintage street lamp in an autumn park of falling leaves. Copy-paste this Gemini AI photo prompt and bring it to life in Nano Banana or ChatGPT.","https://freepromptbase.com/autumn-fashion-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, fashion prompt"
"Father & Son Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/kPDGzKvjLBhmCdO19fULv.png","AI Prompts","","Style a dad and baby in matching suits and sunglasses for a studio shot. Copy this Gemini AI photo prompt, paste your photo, and create it in Nano Banana or ChatGPT.","https://freepromptbase.com/father-son-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, family prompt, fashion prompt"
"Green Field Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/lgcZbUkuDdCi0oiIRNyNT.png","AI Prompts","","Stand in tall green grass in a white linen shirt for a moody outdoor portrait. A copy-paste Gemini AI photo prompt — drop in your photo and run it in Nano Banana.","https://freepromptbase.com/green-field-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, aesthetic prompt, nature prompt"
"Color Gel Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/2127c55d3a55ee7b66ed737de1a7f4cac24a4edf484a7dc5720b47d36e9cfdf1.png","AI Prompts","","A cinematic close-up lit with warm golden and cool green gels on black. Drop your photo into this Gemini AI photo prompt and run it in Nano Banana for instant color.","https://freepromptbase.com/color-gel-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Urban Motion Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/06e215d323d01d210323c14ee6d35f6dbab19f09ca3477403149a4fb3f3dff54.png","AI Prompts","","A woman in a black coat striding through a motion-blurred city street. Copy-paste this Gemini AI photo prompt, add your photo, and run it in Nano Banana.","https://freepromptbase.com/urban-motion-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, urban prompt"
"Selective Color Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/120562713f72b5f6b448eb49f510b5b919e4e052c7012b9ae29e3158126e0b92.jpg","AI Prompts","","A black-and-white male portrait with one glowing amber eye and wet skin droplets. Copy-paste this Gemini AI photo editing prompt and run it in Nano Banana.","https://freepromptbase.com/selective-color-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Film Noir Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/6b42b2ea18ccd052b3a0840b3f8183c69b77eb934438f30f6b0b58dadd870a66.png","AI Prompts","","Film-noir mood: a black-and-white man on a bokeh-lit street at night. This Gemini AI photo editing prompt is copy-paste — drop in your photo and edit in Nano Banana.","https://freepromptbase.com/film-noir-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Light Beam Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/b1ce75e0f93284664cf8a01571aeeaefbf1238ad74f72a335df15209dd291231.png","AI Prompts","","A dramatic close-up sliced by a diagonal light beam and deep shadows. Paste your photo into this Gemini AI photo prompt and run it in Nano Banana for the full effect.","https://freepromptbase.com/light-beam-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, cinematic prompt"
"Gothic Hall Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/147c18784c5d5c1d454733c3d7876d65bfbe825e50cf1f10c29745614b54290c.png","AI Prompts","","A woman in a black coat glancing back in a sunlit gothic hall, fully cinematic. Paste your photo into this Gemini AI photo prompt and run it in Nano Banana.","https://freepromptbase.com/gothic-hall-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, cinematic prompt"
"Man With Flowers Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/f405ddad0e86b28fdb8625b2517d2bbc3a3c2b041fe61511f28bb7db041a4228.png","AI Prompts","","A melancholic black-and-white man in a coat holding white flowers in the rain. Paste your photo into this Gemini AI photo prompt and edit it in Nano Banana or ChatGPT.","https://freepromptbase.com/man-with-flowers-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Bike Lifestyle Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/4cee1f9c07cc8df0ebdf128d32cfd93a96d478b7614fb3121742b702145dabcf.png","AI Prompts","","Lean against a matte-black classic bike in warm daylight for a lifestyle shot. A prompt for Gemini AI — copy, paste your photo, and create it in Nano Banana.","https://freepromptbase.com/bike-lifestyle-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, lifestyle prompt"
"Monochrome Male Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/1d7c006132cd5e1aee3e5d23feeba89ccf4dc9f24704e13ea34ee88dfa015a1c.png","AI Prompts","","A dramatic black-and-white man in a black mock-neck sweater. Free Gemini AI photo prompt — copy it, paste your photo, and create the look in Nano Banana or ChatGPT.","https://freepromptbase.com/monochrome-male-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Winter Horse Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/f333252b530d4dbcb291ae93bb19b0bfeb284cb7f55fed1937817fbea8d74090.png","AI Prompts","","A man in all-black beside a black horse in a snowy forest, fully cinematic. This copy-paste Gemini AI photo editing prompt runs in Nano Banana — just add your photo.","https://freepromptbase.com/winter-horse-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, winter prompt"
"Chiaroscuro Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/c9087324c815c36a334bdb4bbb2076f67189570199fd430128e3fe1799523115.webp","AI Prompts","","A dramatic chiaroscuro portrait carved from light and shadow. Free Gemini AI photo prompt (copy paste) — paste your photo and recreate it in Nano Banana or ChatGPT.","https://freepromptbase.com/chiaroscuro-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, cinematic prompt"
"Floral Shirt Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/3f04049796b4847a35041d400ebf2e19de40b9540986bc08e745de789809272a.webp","AI Prompts","","A stylish portrait in a bold floral shirt. A prompt for Gemini AI you can copy and paste — add your photo and create the look in Nano Banana or ChatGPT.","https://freepromptbase.com/floral-shirt-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, fashion prompt"
"Mirror Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/eb0d2b5815b7dce91c76f7498c9b5566a0065ffa0b82995d1a5d206a051210b9.webp","AI Prompts","","Create a stylish mirror-selfie portrait in one tap. A free Gemini AI photo prompt (copy paste) — run your photo through Nano Banana or ChatGPT, no signup needed.","https://freepromptbase.com/mirror-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, aesthetic prompt, fashion prompt"
"Turquoise Fashion Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/8b378f5fcb2e4062061b5b29d4afe93cbaa6fe40ab6abf2d40ccb7d9ed438cf6.webp","AI Prompts","","A bold turquoise fashion portrait that pops. Free Gemini AI photo prompt (copy paste) — paste your photo, edit in Nano Banana or ChatGPT, and create in seconds.","https://freepromptbase.com/turquoise-fashion-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, fashion prompt, aesthetic prompt"
"Lego Prompt – Viral LEGO AI Prompt","https://freepromptbase.com/cdn/cms/prompts/5d3e5a21ed95d43e2fa0223304bf5ee27abf8056254e301daf5a994a0c410b84.webp","AI Prompts","","Build viral LEGO-style art — realistic minifigs, characters, and cinematic block scenes. Copy this free AI prompt and paste it into ChatGPT or Gemini to create.","https://freepromptbase.com/lego-viral-prompt","","ai photo prompt, chatgpt prompt, lego prompt, viral prompt, 3d style prompt"
"Pixel Style Prompt – Free Pixel Art AI Prompt","https://freepromptbase.com/cdn/cms/prompts/0d9b06e3eba6a92d64a38f63ba038b339828b16b6b09e887940ecbf8e892021b.webp","AI Prompts","","Make retro pixel art — 8-bit characters, gaming scenes, and pixel avatars. Copy this free AI prompt and paste it into ChatGPT or Gemini to generate.","https://freepromptbase.com/pixel-style-prompt","","ai photo prompt, chatgpt prompt, pixel art prompt, style prompt, retro prompt"
"Old Man Neon Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/c55acb5d8d2e747f551cc121c9e9fbfa91f5bc2cd2ba77b96c4c8479c158df95.webp","AI Prompts","","A striking neon-lit portrait of an older man. Free Gemini AI photo prompt (copy paste) — paste your photo and run it through Nano Banana or ChatGPT, then just go.","https://freepromptbase.com/old-man-neon-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Yellow Saree Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/1bfba47bcf033ce1cbb5d1d7ee7e57762ad46c3145b51c55f23a3e701d96b38a.webp","AI Prompts","","An elegant portrait in a flowing yellow saree. Copy this free Gemini AI photo prompt, paste your photo, and edit it in Nano Banana or ChatGPT — no signup.","https://freepromptbase.com/yellow-saree-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, aesthetic prompt"
"City Crosswalk Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/ef80336cd2fb0666163a3b4b32c47db47a26f27908df03139cce4cc426a08f59.webp","AI Prompts","","A candid portrait caught mid-stride on a busy city crosswalk. Copy this Gemini AI photo prompt, paste your photo, and edit it in Nano Banana or ChatGPT.","https://freepromptbase.com/city-crosswalk-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, urban prompt"
"Minecraft Prompt – Viral Minecraft AI Prompt","https://freepromptbase.com/cdn/cms/prompts/40e585cd1b80a763b257e4aa1b2705b9102b2519b7d5a261b6dee9951df623c4.webp","AI Prompts","","Generate block-style Minecraft art — characters, epic castles, and cinematic scenes. A free AI prompt; copy it, paste into ChatGPT or Gemini, and build.","https://freepromptbase.com/minecraft-prompt","","ai photo prompt, chatgpt prompt, minecraft prompt, gaming prompt, 3d style prompt"
"Snowy Night Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/105fdae36a448c7a7ed43f656270ef0868a89639b1ab6de43f369735f7fecdb9.webp","AI Prompts","","A cinematic portrait set in falling snow at night. Copy this free Gemini AI photo prompt, paste your photo, and edit it in Nano Banana or ChatGPT.","https://freepromptbase.com/snowy-night-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, winter prompt"
"Smoky Studio Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/480299cab801a1733db25a0329be706970f11707a401569819140b704031adbc.webp","AI Prompts","","A moody studio portrait wrapped in drifting smoke. Free Gemini AI photo prompt (copy paste) — paste your photo and edit in Nano Banana or ChatGPT in seconds.","https://freepromptbase.com/smoky-studio-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Motion Blur Prompt – Viral AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/c6450d130afcf3debb844122cfa46d9b781ecf56930b1df5de7efafc1bb64576.webp","AI Prompts","","Freeze the action with cinematic motion blur, speed trails, and real movement. A free AI photo prompt — copy, paste it into ChatGPT or Gemini and generate.","https://freepromptbase.com/motion-blur-prompt","","ai photo prompt, gemini prompt, motion blur prompt, cinematic prompt, street style prompt"
"Glassmorphism Prompt – Free AI Design Prompt","https://freepromptbase.com/cdn/cms/prompts/10da19ef4ae73433595a61cf1772f0bbc13b981d8ba35a0f0ec8247a5b640d26.webp","AI Prompts","","Design sleek glassmorphism visuals — translucent panels, frosted textures, gradients, soft shadows. A free AI prompt you can copy and paste into ChatGPT or Gemini.","https://freepromptbase.com/glassmorphism-prompt","","ai photo prompt, chatgpt prompt, glassmorphism prompt, style prompt, aesthetic prompt"
"B&W Studio Portrait – AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/acdd7055a9182ee404e920ef0667b247c36bc540f2041529e242a9a7dd1dd3b5.webp","AI Prompts","","A striking black-and-white studio portrait with deep shadows and high contrast. A free AI photo prompt — paste your photo into Gemini (Nano Banana) or ChatGPT.","https://freepromptbase.com/black-and-white-studio-prompt","","ai photo prompt, gemini prompt, portrait prompt, black and white prompt, studio prompt"
"Graffiti Mural Portrait AI Photo Prompt for Gemini","https://freepromptbase.com/cdn/cms/prompts/3096a3254c74a588d15ee9bfabe726bec2fd5b197bd7552469646797ad999d56.webp","AI Prompts","","Graffiti mural portrait prompt — get this free AI photo prompt on Free Prompt Base. Copy it, paste your photo, and edit in Gemini & ChatGPT.","https://freepromptbase.com/graffiti-mural-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, urban prompt"
"Dark Aesthetic Prompt – AI Portrait Prompt","https://freepromptbase.com/cdn/cms/prompts/68095dc323c7b6d1224c70013cd6252030ae9b5a8a0f65a1a86742c268d20aa9.webp","AI Prompts","","Striking dark-aesthetic portraits with low-key lighting and cinematic shadows. A free AI photo prompt — paste your photo into Gemini or ChatGPT and set the mood.","https://freepromptbase.com/dark-aesthetic-prompt","","ai photo prompt, gemini prompt, dark aesthetic prompt, aesthetic prompt, moody prompt"
"GTA VI Prompt – GTA 6 Style AI Prompt","https://freepromptbase.com/cdn/cms/prompts/d9a7664e6e27e60d5f95bf53febb8f700cace290caa38cd69735b16a76e59011.webp","AI Prompts","","Drop into a GTA VI world — neon streets, dramatic sunsets, stylish characters. A free GTA 6 style AI prompt; copy, paste into ChatGPT or Gemini, and generate.","https://freepromptbase.com/gta-vi-prompt","","ai photo prompt, chatgpt prompt, gta prompt, gaming prompt, viral prompt"
"Neon Ring Portrait AI Photo Prompt for Gemini","https://freepromptbase.com/cdn/cms/prompts/c7cc7b6156de2a80a1e023b992dd94f85eedd4221769ee1440659d1e161c711a.webp","AI Prompts","","Neon ring portrait prompt — copy this free AI photo prompt on Free Prompt Base and edit it in Gemini & ChatGPT. Paste your photo and create in seconds.","https://freepromptbase.com/neon-ring-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Fisheye Lens Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/37e67ac925313e3eb1e95393426537e2aeea00fcec639a5b3c7343d856f30c45.webp","AI Prompts","","Surreal fisheye Gemini AI photo prompt — place yourself in a brutalist spiral staircase with Escher-style clones and barrel distortion. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/fisheye-lens-prompt","","ai photo prompt, gemini prompt, fisheye prompt, men portrait prompt, surreal photo prompt"
"Aesthetic Photography – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/cfebbc0208e23c02b43938aad85c630a0f3ef0de3145fc8ee834f5cf42bf536c.webp","AI Prompts","","Aesthetic Gemini AI photo prompt — place yourself in a London sunflower field with golden-hour light and giant bees. Copy, paste your photo in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/aesthetic-photography-prompt","","ai photo prompt, gemini prompt, aesthetic prompt, portrait prompt, cinematic prompt"
"Fashion Photography – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/29c6c73a9b0eb1c4646563b7f91d91ad019c9451b566810851bff063603d09ce.webp","AI Prompts","","Editorial fashion Gemini AI photo prompt — a top-down shot of a man on grass surrounded by scattered photo prints of himself. Copy, paste your photo in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/fashion-photography-prompt","","ai photo prompt, gemini prompt, fashion prompt, men portrait prompt, aesthetic prompt"
"Pixels in Motion – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/9d1efd72aca22acae4517163330bc6d6e2d44b083d6d2843c344ba74b38f15ba.webp","AI Prompts","","Cinematic Gemini AI photo prompt — a lakeside silhouette under surreal long-exposure cloud streaks at sunset. Copy, paste your photo in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/pixels-in-motion-prompt","","ai photo prompt, gemini prompt, cinematic prompt, nature prompt, surreal photo prompt"
"Pixel Stretch Effect – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/228c37280986f121e65eb38349fc0825bdb68563445430660c71a165bff3fed5.webp","AI Prompts","","Viral pixel-stretch Gemini AI photo prompt — surround your subject with swirling vortex light streams and glowing clouds. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/pixel-stretch-prompt","","ai photo prompt, gemini prompt, pixel stretch prompt, cinematic prompt, surreal photo prompt"
"Tropical Shore Silhouette – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/0b54dbb2984bd585f26250b75de974ce7cd0ded9f9a8384d04b26f5db77852ef.webp","AI Prompts","","Cinematic Gemini AI photo prompt — a back-view silhouette on a tropical shoreline under swirling long-exposure sunset clouds. Copy, paste your photo in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/pixels-in-motion-prompt-tropical-shore","","ai photo prompt, gemini prompt, cinematic prompt, surreal photo prompt, nature prompt"
"Sky Vortex Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/66edd8ecf83888a4e29d3b272f236a1dc2d534779b55e80d50cdceced4c5527d.webp","AI Prompts","","Surreal Gemini AI photo prompt — stand on a mossy cliff facing an enormous glowing sky vortex of long-exposure clouds. Copy, paste your photo in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/pixels-in-motion-prompt-sky-vortex","","ai photo prompt, gemini prompt, cinematic prompt, surreal photo prompt, nature prompt"
"Anime Style Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/83428a942d66978bf2d92a394cf19ae8a209c9b99602661d24045644d51c2c46.webp","AI Prompts","","Gemini AI couple photo prompt — turn two photos into a romantic anime-realism illustration in traditional Indian outfits. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/anime-style-couple-prompt","","ai photo prompt, gemini prompt, couple prompt, anime prompt, aesthetic prompt"
"Couple Prompt (Wildflower Meadow) – Gemini AI Photo","https://freepromptbase.com/cdn/cms/prompts/2724445ef9802e635119dbb836f89573eb0983b7af4db80eb5e82c14e86e5b54.webp","AI Prompts","","Free couple prompt for Gemini AI — turn your photo into a couple running through a wildflower meadow in cottagecore style. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, nature prompt"
"Golden Hour Couple Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/04b3fb13795cb0e6ab4889d92a558fafe8da707b61aa5cd56ebb1d7b5bb9d6bd.webp","AI Prompts","","Gemini AI couple photo prompt — a golden-hour portrait with the woman hugging the man from behind in cozy knit and suede, warm film grade. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-golden-hour","","ai photo prompt, gemini prompt, couple prompt, cinematic prompt, aesthetic prompt"
"Black & White Couple Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/231149154e7d76462943b2dd91e8b468118ac7553366da30475afa3b1db7859b.webp","AI Prompts","","Gemini AI couple photo prompt — turn your photo into a black-and-white fine-art portrait of a man embracing a woman from behind in elegant black outfits. Copy, paste in Nano Banana (Gemini).","https://freepromptbase.com/black-and-white-couple-prompt","","ai photo prompt, gemini prompt, couple prompt, portrait prompt, cinematic prompt"
